,Name,Club,Age,Apps,Mins,Total,SixYardBox,PenaltyArea,OutOfBox,PassTotal,AccLB,InAccLB,AccSP,InAccSP,Rating
0,Ryan Schofield,Huddersfield,20,1,90,2,1,1,0,32,3,16,13,0,7.06
1,Illan Meslier,Leeds,20,10,900,20,2,9,9,297,36,72,186,3,6.95
2,Frank Fielding,Millwall,32,1,43,0,0,0,0,10,5,4,1,0,6.92
3,Marek Rodák,Fulham,23,33,2897,97,8,56,33,918,216,340,360,2,6.77
4,Niki Mäenpää,Bristol City,35,4,298,10,3,6,1,111,23,49,39,0,6.76
5,Jack Walton,Barnsley,22,9,810,21,1,16,4,247,48,99,99,1,6.74
6,Kelle Roos,Derby,28,22,1906,64,4,30,30,723,117,210,393,3,6.74
7,Dillon Phillips,Charlton,25,46,4140,156,11,89,56,1531,354,765,404,8,6.72
8,Bartosz Bialkowski,Millwall,33,45,4050,139,10,73,56,1029,348,536,142,3,6.72
9,Adam Davies,Stoke,28,4,360,7,3,2,2,121,44,75,2,0,6.72
10,Daniel Bentley,Bristol City,27,42,3780,131,12,76,43,1295,326,590,375,4,6.72
11,Rafael Cabral,Reading,30,44,3960,147,11,74,62,1178,272,546,356,4,6.71
12,Brice Samba,Nottingham Forest,26,40,3600,109,6,56,47,1101,326,483,289,3,6.65
13,James Shea,Luton,29,13,1170,50,5,25,20,374,79,180,115,0,6.65
14,Kiko Casilla,Leeds,33,36,3240,71,3,31,37,1055,160,199,686,10,6.65
15,Adam Federici,Stoke,35,7,630,22,1,16,5,203,56,79,68,0,6.65
16,Freddie Woodman,Swansea,23,43,3870,110,8,70,32,1228,282,372,573,1,6.63
17,David Raya Martin,Brentford,24,46,4140,99,3,58,38,1477,276,410,781,10,6.63
18,Christian Walton,Blackburn,24,46,4140,123,5,65,53,1377,336,717,321,3,6.63
19,Jonas Lössl,Huddersfield,31,15,1350,38,2,20,16,462,109,186,163,4,6.62
20,Aynsley Pears,Middlesbrough,22,24,2160,63,2,36,25,608,174,327,106,1,6.58
21,Bradley Collins,Barnsley,23,19,1710,55,8,31,16,590,140,322,126,2,6.56
22,Darren Randolph,Middlesbrough,33,14,1260,40,1,28,11,339,89,186,64,0,6.54
23,Dejan Stojanovic,Middlesbrough,27,8,720,23,2,12,9,210,58,135,17,0,6.54
24,Sam Johnstone,West Bromwich Albion,27,46,4140,111,9,58,44,1298,338,505,445,10,6.53
25,Lee Camp,Birmingham,35,36,3240,80,4,52,24,1031,372,493,164,2,6.51
26,Declan Rudd,Preston,29,46,4140,108,7,53,48,1432,419,700,311,2,6.49
27,Liam Kelly,Queens Park Rangers,24,19,1710,47,3,28,16,661,124,223,310,4,6.48
28,Alex Smithies,Cardiff,30,30,2700,67,4,41,22,821,238,549,32,2,6.48
29,David Marshall,Wigan,35,39,3510,85,7,44,34,1047,365,463,217,2,6.47
30,Ben Hamer,Derby,32,24,2160,64,6,31,27,847,165,291,388,3,6.45
31,Keiren Westwood,Sheffield Wednesday,35,14,1250,31,0,21,10,420,143,233,44,0,6.41
32,Matt Ingram,Hull,26,1,90,3,0,1,2,31,15,15,1,0,6.39
33,Simon Sluga,Luton,27,33,2970,95,8,51,36,1068,255,488,320,5,6.38
34,George Long,Hull,26,45,4050,116,5,68,43,1294,331,564,395,4,6.38
35,Marcus Bettinelli,Fulham,28,13,1170,20,3,15,2,430,61,105,262,2,6.37
36,Samuel Sahin-Radlinger,Barnsley,27,18,1620,43,6,24,13,559,99,231,227,2,6.37
37,Erwin Mulder,Swansea,31,3,270,6,0,5,1,80,6,22,52,0,6.37
38,Neil Etheridge,Cardiff,30,16,1406,38,1,19,18,492,138,333,21,0,6.36
39,Cameron Dawson,Sheffield Wednesday,25,23,2070,50,1,27,22,705,232,409,64,0,6.26
40,Kamil Grabara,Huddersfield,21,28,2513,61,5,38,18,795,152,348,291,4,6.26
41,Jamie Jones,Wigan,31,7,630,14,1,8,5,168,41,73,54,0,6.25
42,João Virgínia,Reading,20,2,180,5,0,3,2,33,8,7,18,0,6.22
43,Jack Butland,Stoke,27,35,3150,74,5,38,31,1013,271,451,291,0,6.21
44,Connal Trueman,Birmingham,24,10,900,24,1,15,8,236,68,111,55,2,6.21
45,Joe Lumley,Queens Park Rangers,25,27,2430,67,7,35,25,881,181,287,409,4,6.19
46,Arijanet Muric,Nottingham Forest,21,4,360,8,2,6,0,97,19,41,36,1,6.11
47,Jordan Smith,Nottingham Forest,25,2,180,5,0,1,4,64,19,37,8,0,6.09
48,Joe Wildsmith,Sheffield Wednesday,24,9,810,16,3,8,5,254,76,156,22,0,6.07
49,Joel Coleman,Huddersfield,24,2,180,5,0,5,0,51,10,26,15,0,5.76
