,Name,Club,Age,Apps,Mins,Total,SixYardBox,PenaltyArea,OutOfBox,PassTotal,AccLB,InAccLB,AccSP,InAccSP,Rating
0,Emiliano Martínez,Arsenal,27,7,630,26,0,15,11,200,28,64,104,4,7.07
1,Hugo Lloris,Tottenham,33,20,1718,78,6,38,34,449,114,151,183,1,7.03
2,Bernd Leno,Arsenal,28,30,2650,112,7,58,47,800,74,218,504,4,6.88
3,Nick Pope,Burnley,28,37,3330,116,6,69,41,986,270,615,99,2,6.79
4,Michael McGovern,Norwich,36,1,90,7,1,3,3,19,2,9,8,0,6.79
5,Kasper Schmeichel,Leicester,33,37,3330,95,7,62,26,1000,237,234,521,8,6.77
6,Dean Henderson,Sheffield United,23,35,3150,94,6,54,34,907,258,572,76,1,6.75
7,Martin Dubravka,Newcastle United,31,37,3330,136,14,80,42,940,294,455,188,3,6.74
8,Alex McCarthy,Southampton,30,27,2430,77,8,48,21,710,198,351,156,5,6.72
9,Vicente Guaita,Crystal Palace,33,34,3060,108,14,58,36,867,216,433,213,5,6.71
10,David Martin,West Ham,34,4,360,13,1,9,3,83,34,47,2,0,6.69
11,Aaron Ramsdale,Bournemouth,22,36,3240,121,13,57,51,925,197,435,286,7,6.69
12,Mat Ryan,Brighton,28,37,3330,116,11,78,27,1188,242,229,701,16,6.67
13,Rui Patrício,Wolverhampton Wanderers,32,37,3330,89,7,56,26,716,271,280,161,4,6.66
14,Lukasz Fabianski,West Ham,35,24,2029,69,2,40,27,551,196,269,83,3,6.65
15,Paulo Gazzaniga,Tottenham,28,17,1530,54,3,31,20,425,75,180,169,1,6.65
16,Tim Krul,Norwich,32,35,3150,126,13,68,45,1338,233,468,624,13,6.64
17,Alisson,Liverpool,27,28,2455,57,2,30,25,786,111,117,551,7,6.64
18,Ederson,Manchester City,26,34,2982,64,7,41,16,877,123,117,631,6,6.59
19,Roberto Jiménez,West Ham,34,7,630,32,2,18,12,182,48,98,36,0,6.58
20,Wayne Hennessey,Crystal Palace,33,3,270,15,2,8,5,97,35,53,8,1,6.58
21,Pepe Reina,Aston Villa,37,11,990,33,1,23,9,319,93,104,119,3,6.57
22,Tom Heaton,Aston Villa,34,20,1795,68,6,40,22,527,119,247,156,5,6.57
23,David de Gea,Manchester United,29,37,3330,93,3,52,38,765,92,190,477,6,6.55
24,Ben Foster,Watford,37,37,3330,115,7,72,36,1071,316,637,115,3,6.53
25,Jordan Pickford,Everton,26,37,3330,90,7,52,31,1157,289,468,399,1,6.42
26,Adrián,Liverpool,33,9,810,13,1,6,6,233,46,58,127,2,6.41
27,Kepa Arrizabalaga,Chelsea,25,33,2970,54,3,32,19,938,131,185,617,5,6.36
28,Jed Steer,Aston Villa,27,1,8,0,0,0,0,2,0,1,1,0,6.32
29,Darren Randolph,West Ham,33,2,180,6,1,4,1,36,16,18,2,0,6.31
30,Willy Caballero,Chelsea,38,4,360,9,0,7,2,112,21,34,57,0,6.25
31,Claudio Bravo,Manchester City,37,3,270,3,0,2,1,93,16,12,64,1,6.24
32,Angus Gunn,Southampton,24,10,900,30,2,18,10,231,43,144,44,0,6.19
33,Ralf Fährmann,Norwich,31,1,22,1,0,0,1,8,0,3,5,0,6.08
34,Ørjan Nyland,Aston Villa,29,5,450,12,0,5,7,123,28,61,33,1,5.96
35,Simon Moore,Sheffield United,30,2,180,5,0,2,3,44,10,29,5,0,5.39
36,Mark Travers,Bournemouth,21,1,90,2,0,2,0,25,2,9,13,1,4.95
